Id,InvoiceNo,ItemId,ReqQty,Qty,AmtInPer,Rate,MId,Unit
3049,0048,2412,1.0,1.0,100.0,301500.0,1030,16
3050,0048,2414,1.0,1.0,100.0,122750.0,1030,16
3051,0048,2415,1.0,1.0,100.0,128500.0,1030,16
3052,0049,2453,20.0,20.0,100.0,1450.0,1031,16
3053,0049,2454,2.0,6.0,100.0,1150.0,1031,16
3054,0050,2455,20.0,20.0,100.0,1125.0,1032,16
3055,0050,2456,20.0,20.0,100.0,1150.0,1032,16
3056,0051,2380,2.0,2.0,100.0,1564161.0,1033,16
3059,0052,2447,1.0,1.0,100.0,27500.0,1035,16
3060,0052,2448,1.0,1.0,100.0,21000.0,1035,16
3061,0053,2450,1.0,1.0,100.0,54000.0,1036,16
3062,0054,2451,1.0,1.0,100.0,67500.0,1037,16
3063,0055,2382,1.0,1.0,100.0,3075978.0,1038,16
3064,0056,2384,1.0,1.0,100.0,3610000.0,1039,16
3065,0057,2383,1.0,1.0,100.0,115000.0,1040,16
3066,0058,2385,1.0,1.0,100.0,115000.0,1041,16
