Id,GINNo,GINId,POId,Qty,ReceivedQty,ACategoyId,ASubCategoyId
47522,1228,14446,54913,2.0,2.0,0,0
47523,1228,14446,54914,2.0,2.0,0,0
47524,1229,14447,54915,1.0,1.0,0,0
47525,1229,14447,54916,2.0,2.0,0,0
47526,1229,14447,54917,2.0,2.0,0,0
47527,1229,14447,54918,2.0,2.0,0,0
47528,1229,14447,54919,1.0,1.0,0,0
47529,1229,14447,54920,2.0,2.0,0,0
47530,1229,14447,54921,2.0,2.0,0,0
47531,1229,14447,54922,4.0,4.0,0,0
47532,1229,14447,54923,2.0,2.0,0,0
47533,1229,14447,54924,4.0,4.0,0,0
47534,1229,14447,54925,2.0,2.0,0,0
47535,1229,14447,54926,2.0,2.0,0,0
47536,1229,14447,54927,2.0,2.0,0,0
47537,1229,14447,54928,2.0,2.0,0,0
47538,1229,14447,54929,2.0,2.0,0,0
47539,1229,14447,54930,2.0,2.0,0,0
47540,1229,14447,54931,2.0,2.0,0,0
47541,1229,14447,54932,2.0,2.0,0,0
47542,1229,14447,54933,2.0,2.0,0,0
47543,1229,14447,54934,2.0,2.0,0,0
47544,1229,14447,54935,2.0,2.0,0,0
47545,1229,14447,54936,10.0,10.0,0,0
47546,1229,14447,54937,2.0,2.0,0,0
47547,1229,14447,54938,2.0,2.0,0,0
47548,1229,14447,54939,1.0,1.0,0,0
47549,1229,14447,54940,2.0,2.0,0,0
47550,1229,14447,54941,2.0,2.0,0,0
47551,1229,14447,54942,2.0,2.0,0,0
47552,1229,14447,54943,4.0,4.0,0,0
47553,1229,14447,54944,2.0,2.0,0,0
47554,1229,14447,54945,2.0,2.0,0,0
47555,1229,14447,54946,2.0,2.0,0,0
47556,1230,14448,55094,1.0,1.0,0,0
47557,1230,14448,55095,1.0,1.0,0,0
47558,1230,14448,55096,1.0,1.0,0,0
47559,1230,14448,55100,1.0,1.0,0,0
47560,1231,14449,55146,1.0,1.0,0,0
47561,1231,14449,55147,1.0,1.0,0,0
47562,1231,14449,55148,1.0,1.0,0,0
47563,1231,14449,55149,1.0,1.0,0,0
