Id,CompId,FinYearId,WONo,ReleaseSysDate,ReleaseSysTime,ReleaseBy
396,1,8,N0230,2020-09-22,1:25:21 PM,sapl0313
397,1,8,S0188,2020-09-22,1:26:35 PM,sapl0313
398,1,8,S0189,2020-09-24,2:27:23 PM,sapl0313
399,1,8,J0126,2020-09-25,12:07:16 PM,sapl0313
400,1,8,J0127,2020-09-26,5:00:20 PM,sapl0313
401,1,8,S0187,2020-10-05,1:29:39 PM,sapl0313
402,1,8,J0128,2020-10-06,10:40:41 AM,sapl0313
403,1,8,J0129,2020-10-15,4:30:04 PM,sapl0313
404,1,8,J0107,2020-10-15,4:30:19 PM,sapl0313
405,1,8,E0043,2020-10-20,12:50:08 PM,sapl0313
406,1,8,S0190,2020-10-20,12:50:29 PM,sapl0313
407,1,8,S0191,2020-10-20,12:50:37 PM,sapl0313
408,1,8,S0163,2020-10-20,12:51:06 PM,sapl0313
409,1,8,P0057,2020-10-20,12:51:36 PM,sapl0313
410,1,8,N0223,2020-10-20,12:52:03 PM,sapl0313
411,1,8,N0224,2020-10-20,12:52:14 PM,sapl0313
412,1,8,P0056,2020-10-20,12:52:31 PM,sapl0313
413,1,8,S0174,2020-10-20,12:52:42 PM,sapl0313
414,1,8,S0173,2020-10-20,12:52:49 PM,sapl0313
415,1,8,S0176,2020-10-20,12:52:59 PM,sapl0313
416,1,8,S0177,2020-10-20,12:53:11 PM,sapl0313
417,1,8,S0178,2020-10-20,12:53:17 PM,sapl0313
418,1,8,S0179,2020-10-20,12:53:23 PM,sapl0313
419,1,8,S0171,2020-10-20,12:53:41 PM,sapl0313
420,1,8,N0204,2020-10-22,4:39:05 PM,sapl0001
421,1,8,E0044,2020-10-26,4:10:16 PM,sapl0313
422,1,8,J0130,2020-10-26,4:10:22 PM,sapl0313
423,1,8,E0045,2020-11-03,3:52:26 PM,sapl0313
424,1,8,J0131,2020-12-02,10:02:44 AM,sapl0313
425,1,8,N0231,2020-12-08,10:55:24 AM,sapl0313
426,1,8,S0192,2020-12-08,10:55:32 AM,sapl0313
427,1,8,E0046,2020-12-12,8:06:38 PM,sapl0313
428,1,8,E0047,2020-12-12,8:20:46 PM,sapl0313
